Durchschnittlicher Mietpreis1) pro m2 in Franken nach Zimmerzahl und Kanton;;;;;;;;;;;;;;T 09.03.03.05;;;;;;;;;
2017;;;;;;;;;;;;;;;;;;;;;;;
;Bewohnte Mietwohnungen mit … Zimmer(n);;;;;;;;;;;;;;;;;;;;;;
Neuenburg;  12.1 ;  0.2 ;  11.9 ;  1.2 ;  12.6 ;  0.4 ;  11.7 ;  0.2 ;  12.2 ;  0.2 ;  12.7 ;  0.6 ;  13.4 ;  2.0 ;;;;;;;;;
Genf;  18.7 ;  0.2 ;  19.7 ;  1.0 ;  18.8 ;  0.5 ;  18.5 ;  0.3 ;  18.1 ;  0.3 ;  18.5 ;  0.4 ;  22.6 ;  1.1 ;;;;;;;;;
Jura;  11.0 ;  0.4 ;  (11.8) ;  (4.0) ;  11.0 ;  1.6 ;  11.3 ;  0.5 ;  11.3 ;  0.7 ;  9.3 ;  1.2 ;  (9.9) ;  (2.1) ;;;;;;;;;
Da der Fragebogen 2015 angepasst wurde, können die Ergebnisse nur bedingt mit den Erhebungen vor 2015 verglichen werden.;;;;;;;;;;;;;;;;;;;;;;;
Die Strukturerhebung umfasst Personen ab 15 Jahren, die in einem Privathaushalt der ständigen Wohnbevölkerung leben. ;;;;;;;;;;;;;;;;;;;;;;;
Nicht berücksichtigt wurden Personen, die in Kollektivhaushalten leben, Diplomaten, internationale Funktionäre sowie deren Angehörige. ;;;;;;;;;;;;;;;;;;;;;;;
Die Befragten gaben Auskunft zu ihrer Person, zum Haushalt, zu den Haushaltsmitgliedern sowie zur Wohnsituation. ;;;;;;;;;;;;;;;;;;;;;;;
1) Monatlicher Netto-Mietzins (ohne Neben- und Heizkosten) der Mieter- und Genossenschafterwohnungen. ;;;;;;;;;;;;;;;;;;;;;;;
( ): Extrapolation aufgrund von weniger als 50 Beobachtungen. Die Resultate sind mit grosser Vorsicht zu interpretieren.;;;;;;;;;;;;;;;;;;;;;;;
X: Extrapolation aufgrund von weniger als 5 Beobachtungen. Die Resultate werden aus Gründen des Datenschutzes nicht publiziert.;;;;;;;;;;;;;;;;;;;;;;;
*: Entfällt, weil trivial oder Begriffe nicht anwendbar.;;;;;;;;;;;;;;;;;;;;;;;
Quellen: BFS – SE, GWS;;;;;;;;;;;;;;;;;;;;;;;
© BFS 2019;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Auskunft: Bundesamt für Statistik (BFS), Sektion POP, info.gws@bfs.admin.ch, Tel. 058 467 25 25;;;;;;;;;;;;;;;;;;;;;;;
