Durchschnittlicher Mietpreis1) pro m2 in Franken nach Zimmerzahl und Kanton;;;;;;;;;;;;;T 09.03.03.05;;;;;;;;;;
2014;;;;;;;;;;;;;;;;;;;;;;;
;Bewohnte Mietwohnungen mit … Zimmer(n);;;;;;;;;;;;;;;;;;;;;;
Neuenburg;  12.7 ;  0.2 ;  12.2 ;  1.8 ;  12.9 ;  0.4 ;  12.5 ;  0.2 ;  12.7 ;  0.3 ;  13.1 ;  0.6 ;  14.5 ;  1.4 ;;;;;;;;;
Genf;  19.0 ;  0.2 ;  19.0 ;  1.0 ;  18.3 ;  0.5 ;  18.7 ;  0.3 ;  19.1 ;  0.3 ;  19.0 ;  0.5 ;  22.9 ;  1.3 ;;;;;;;;;
Jura;  11.6 ;  0.3 ;  (10.9) ;  (2.1) ;  12.8 ;  1.3 ;  11.8 ;  0.5 ;  11.6 ;  0.5 ;  10.8 ;  0.9 ;  (9.7) ;  (1.6) ;;;;;;;;;
Die Strukturerhebung umfasst Personen ab 15 Jahren, die in einem Privathaushalt der ständigen Wohnbevölkerung leben. ;;;;;;;;;;;;;;;;;;;;;;;
Nicht berücksichtigt wurden Personen, die in Kollektivhaushalten leben, Diplomaten, internationale Funktionäre sowie deren Angehörige. ;;;;;;;;;;;;;;;;;;;;;;;
Die Befragten gaben Auskunft zu ihrer Person, zum Haushalt, zu den Haushaltsmitgliedern sowie zur Wohnsituation. ;;;;;;;;;;;;;;;;;;;;;;;
1) Monatlicher Netto-Mietzins (ohne Neben- und Heizkosten) der Mieter- und Genossenschafterwohnungen. ;;;;;;;;;;;;;;;;;;;;;;;
( ): Extrapolation aufgrund von weniger als 50 Beobachtungen. Die Resultate sind mit grosser Vorsicht zu interpretieren.;;;;;;;;;;;;;;;;;;;;;;;
X: Extrapolation aufgrund von weniger als 5 Beobachtungen. Die Resultate werden aus Gründen des Datenschutzes nicht publiziert.;;;;;;;;;;;;;;;;;;;;;;;
*: Entfällt, weil trivial oder Begriffe nicht anwendbar.;;;;;;;;;;;;;;;;;;;;;;;
Quellen: BFS – SE, GWS;;;;;;;;;;;;;;;;;;;;;;;
© BFS 2016;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Auskunft: Bundesamt für Statistik (BFS), Sektion POP, info.gws@bfs.admin.ch, Tel. 058 467 25 25;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
