Durchschnittlicher Mietpreis1) pro m2 in Franken nach Zimmerzahl und Kanton;;;;;;;;;;;;;;T 09.03.03.05;;;;;;;;;
2016;;;;;;;;;;;;;;;;;;;;;;;
;Bewohnte Mietwohnungen mit … Zimmer(n);;;;;;;;;;;;;;;;;;;;;;
Neuenburg;  12.0 ;  0.2 ;  11.6 ;  1.1 ;  12.5 ;  0.4 ;  11.7 ;  0.2 ;  12.2 ;  0.2 ;  11.9 ;  0.5 ;  14.4 ;  1.6 ;;;;;;;;;
Genf;  18.6 ;  0.2 ;  18.6 ;  1.1 ;  18.6 ;  0.5 ;  18.4 ;  0.3 ;  17.9 ;  0.3 ;  18.9 ;  0.5 ;  22.2 ;  1.4 ;;;;;;;;;
Jura;  10.9 ;  0.4 ;  (8.8) ;  (2.6) ;  10.4 ;  1.3 ;  11.7 ;  0.8 ;  10.5 ;  0.6 ;  11.0 ;  1.1 ;  (9.6) ;  (2.2) ;;;;;;;;;
Da der Fragebogen 2015 angepasst wurde, können die Ergebnisse nur bedingt mit den Erhebungen vor 2015 verglichen werden.;;;;;;;;;;;;;;;;;;;;;;;
Die Strukturerhebung umfasst Personen ab 15 Jahren, die in einem Privathaushalt der ständigen Wohnbevölkerung leben. ;;;;;;;;;;;;;;;;;;;;;;;
Nicht berücksichtigt wurden Personen, die in Kollektivhaushalten leben, Diplomaten, internationale Funktionäre sowie deren Angehörige. ;;;;;;;;;;;;;;;;;;;;;;;
Die Befragten gaben Auskunft zu ihrer Person, zum Haushalt, zu den Haushaltsmitgliedern sowie zur Wohnsituation. ;;;;;;;;;;;;;;;;;;;;;;;
1) Monatlicher Netto-Mietzins (ohne Neben- und Heizkosten) der Mieter- und Genossenschafterwohnungen. ;;;;;;;;;;;;;;;;;;;;;;;
( ): Extrapolation aufgrund von weniger als 50 Beobachtungen. Die Resultate sind mit grosser Vorsicht zu interpretieren.;;;;;;;;;;;;;;;;;;;;;;;
X: Extrapolation aufgrund von weniger als 5 Beobachtungen. Die Resultate werden aus Gründen des Datenschutzes nicht publiziert.;;;;;;;;;;;;;;;;;;;;;;;
*: Entfällt, weil trivial oder Begriffe nicht anwendbar.;;;;;;;;;;;;;;;;;;;;;;;
Quellen: BFS – SE, GWS;;;;;;;;;;;;;;;;;;;;;;;
© BFS 2018;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Auskunft: Bundesamt für Statistik (BFS), Sektion POP, info.gws@bfs.admin.ch, Tel. 058 467 25 25;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
